date,temperature_mean_c,temperature_max_c,precipitation_mm,snowfall_cm,cloud_cover_pct,wind_max_kmh,solar_radiation_mj_m2
2019-12-24,10.4,11.3,12.4,0.0,100.0,9.5,1.54
2019-12-25,9.4,10.8,7.4,0.0,97.0,6.2,4.42
2019-12-26,8.5,9.4,10.6,0.0,97.0,12.1,2.0
2019-12-27,7.1,8.2,3.4,0.0,75.0,6.1,5.86
2019-12-28,5.9,7.1,2.1,0.0,94.0,6.9,5.51
2019-12-29,5.5,5.9,3.5,0.21,95.0,11.1,4.19
2019-12-30,7.0,8.2,12.7,0.0,100.0,17.3,1.62
2019-12-31,7.7,8.1,10.4,0.0,100.0,13.0,1.5
2020-01-01,6.1,6.7,5.9,0.14,84.0,9.1,1.8
2020-01-02,5.3,8.0,0.8,0.14,49.0,14.4,5.99
2020-01-03,4.6,7.9,0.0,0.0,58.0,10.7,5.22
2020-01-04,5.4,9.3,0.0,0.0,43.0,8.6,7.68
2020-01-05,4.1,7.7,0.0,0.0,86.0,8.8,4.3
2020-01-06,5.7,6.2,18.0,1.33,100.0,17.1,1.26
2020-01-07,5.9,6.6,27.2,2.38,100.0,15.3,1.05
2020-01-08,5.3,6.0,9.9,0.98,88.0,14.7,2.01
2020-01-09,4.7,7.4,1.4,0.56,75.0,9.6,4.94
2020-01-10,4.8,9.8,0.0,0.0,9.0,6.0,8.51
2020-01-11,5.8,12.2,0.0,0.0,14.0,6.8,9.22
2020-01-12,6.9,9.3,0.6,0.0,88.0,7.4,3.87
2020-01-13,7.2,11.2,0.0,0.0,44.0,6.9,7.75
2020-01-14,5.1,9.4,0.0,0.0,58.0,5.7,7.66
2020-01-15,6.2,11.8,0.0,0.0,30.0,8.7,8.79
2020-01-16,6.7,10.9,0.0,0.0,46.0,12.3,8.24
2020-01-17,7.5,8.9,0.1,0.0,84.0,13.8,4.08
2020-01-18,7.3,9.4,0.4,0.0,74.0,12.3,5.81
2020-01-19,5.7,7.9,0.1,0.0,53.0,10.4,7.25
